business_name,industry,business_type,size_of_business,website,website_qr,sell_products_online,tools_used,manage_customer_interactions,business_challenges,recommended_tools,social_media_followers,monthly_sales,ad_spend,customer_engagement
"Hunt, Hill and Ochoa",Finance,Consulting,Medium,Yes,No,No,Accounting,"Social media, CRM","Marketing, Customer retention, Operational efficiency","Email Marketing, Automated Chatbots, Accounting, Generate Website QR Code, ERP, Social Media Management, E-commerce Platform, CRM",33140,21602,2619,50
Gill Ltd,Retail,Retail,Large,No,No,No,"ERP, Inventory Management, Accounting","CRM, Automated chatbots, In-store","Inventory management, Time management","Project Management Tools, Generate Website QR Code, ERP, Website Builder, E-commerce Platform, Workflow Automation, Inventory Management",18657,64935,9772,21
Howell-Myers,Tech,Manufacturing,Large,Yes,No,Yes,"CRM, Inventory Management, Accounting, ERP",Automated chatbots,Customer retention,"Generate Website QR Code, CRM, Automated Chatbots",9296,38883,108,93
Osborne PLC,Finance,Manufacturing,Small,Yes,Yes,No,Accounting,Phone,"Sales, Marketing","Email Marketing, Social Media Management, Analytics, E-commerce Platform, CRM",12510,76496,1473,5
Perry-Williams,Tech,Retail,Small,No,No,No,"Analytics, Inventory Management","CRM, Social media, Automated chatbots",Time management,"Generate Website QR Code, Website Builder, E-commerce Platform, Workflow Automation, Project Management Tools",38269,66918,6874,5
Mcintyre and Sons,Retail,Retail,Medium,No,No,Yes,"CRM, Analytics",CRM,"Inventory management, Marketing, Customer retention","Email Marketing, Automated Chatbots, CRM, Generate Website QR Code, ERP, Website Builder, Social Media Management, Inventory Management",1824,51456,8851,71
Phillips LLC,Food,Retail,Large,Yes,No,No,"Social Media Management, Email Marketing, Analytics, Accounting",Automated chatbots,Sales,"E-commerce Platform, Analytics, Generate Website QR Code, CRM",11167,52957,7796,16
"Brown, Rubio and Flores",Tech,Retail,Large,Yes,No,Yes,"Analytics, CRM, Inventory Management",Social media,"Inventory management, Operational efficiency","ERP, Generate Website QR Code, Accounting, Inventory Management",11259,31470,9034,59
Mccoy-Tanner,Tech,Manufacturing,Small,No,No,Yes,"CRM, Social Media Management, Inventory Management",Email,Customer retention,"Website Builder, Generate Website QR Code, CRM, Automated Chatbots",32077,70426,4867,44
Adams LLC,Finance,Manufacturing,Small,No,No,Yes,"ERP, Inventory Management, CRM","CRM, Email, Automated chatbots","Operational efficiency, Time management, Inventory management","Accounting, Generate Website QR Code, ERP, Inventory Management, Website Builder, Workflow Automation, Project Management Tools",8207,32263,8756,55
